name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Carton of Eggs,5.91,0.78,0.11,0.09,0.13,2023-03-13,Port of Busan (South Korea)
Showerhead,29.77,0.51,0.29,0.2,0.19,2023-03-26,Port of Singapore (Singapore)
Measuring Cups and Spoons,23.5,0.53,0.28,0.3,0.17,2023-03-27,Port of Tianjin (China)
Palette Water Bottles,438.41,628.87,1.2,0.89,1.0,2023-03-21,Port of Tokyo (Japan)
E-Reader,148.8,0.35,0.12,0.21,0.02,2023-03-20,Port of Singapore (Singapore)
Handheld Mixer,71.61,2.03,0.5,0.37,0.12,2023-03-27,Port of Tokyo (Japan)
Sailboat,212728.05,1267.86,15.13,5.23,5.46,2023-03-28,Port of Tianjin (China)
Laptop,823.37,1.44,0.25,0.33,0.04,2023-03-24,Port of Shanghai (China)
Backpacking Tent,160.94,3.5,2.05,1.61,1.45,2023-03-17,Port of Tianjin (China)
TV,1254.49,32.12,1.1,1.4,0.42,2023-03-16,Port of Singapore (Singapore)
Steel Bars,157.65,86.97,2.39,0.12,0.68,2023-03-25,Port of Shanghai (China)
Pallete of Wine Bottles,445.48,998.84,1.27,1.06,0.27,2023-03-26,Port of Tokyo (Japan)
ATV,2294.71,588.55,2.21,1.48,1.34,2023-03-14,Port of Busan (South Korea)
Printer,196.23,5.65,0.45,0.26,0.17,2023-03-24,Port of Singapore (Singapore)
Portable Charger,27.21,0.42,0.14,0.06,0.02,2023-03-12,Port of Shanghai (China)
Piano,13408.6,407.22,1.95,0.88,1.37,,Port of Busan (South Korea)
Headphones,66.97,0.31,0.16,0.15,0.16,2023-03-27,Port of Tianjin (China)
Generators,4557.16,213.33,0.69,0.38,0.52,2023-03-15,Port of Tokyo (Japan)
Pallete of Bananas,94.84,385.24,1.09,0.97,0.62,2023-03-16,Port of Busan (South Korea)
TV Stand,32.02,8.4,0.9,0.52,0.59,2023-03-14,Port of Singapore (Singapore)
Whey Protein Powder,65.29,1.97,0.4,0.3,0.15,2023-03-18,Port of Busan (South Korea)
Pallete of Books,178.24,985.19,0.54,0.33,1.0,2023-03-14,Port of Busan (South Korea)
Swim Goggles,13.22,0.11,0.1,0.09,0.08,2023-03-14,Port of Tianjin (China)
Big Bag with Fertilizer,82.96,469.74,1.21,0.58,0.11,2023-03-15,Port of Tokyo (Japan)
Duvet,192.21,2.39,2.43,1.96,0.2,2023-03-21,Port of Busan (South Korea)
Camera,1324.2,1.32,0.14,0.11,0.1,2023-03-25,Port of Tianjin (China)
Desktop Computer,1004.04,5.27,0.34,0.49,0.45,2023-03-22,Port of Shanghai (China)
Camera,565.57,0.55,0.17,0.17,0.09,2023-03-26,Port of Singapore (Singapore)
Smartphone Case,6.66,0.05,0.13,0.09,0.01,2023-03-26,Port of Tokyo (Japan)
Box of Chocolate Bar,36.02,2.46,0.69,0.59,0.27,2023-03-13,Port of Shanghai (China)
Hedge Trimmer,136.58,4.61,1.04,0.37,0.24,2023-03-21,Port of Tianjin (China)
Planting Trowel,7.61,0.33,0.14,0.05,0.09,2023-03-24,Port of Busan (South Korea)
Wine Opener,19.13,0.72,0.19,0.13,0.08,2023-03-13,Port of Tokyo (Japan)
Gaming Console,646.02,4.21,0.48,0.21,0.08,2023-03-23,Port of Tianjin (China)
Hedge Trimmer,149.89,6.09,1.07,0.23,0.21,2023-03-16,Port of Busan (South Korea)
Air Conditioner,1235.82,90.11,0.6,0.34,0.27,2023-03-19,Port of Shanghai (China)
Wireless Earbuds,366.37,0.12,0.16,0.28,0.09,2023-03-24,Port of Busan (South Korea)
Movie Night Pack,17.46,2.44,0.84,0.54,0.23,2023-03-12,Port of Tokyo (Japan)
TV Stand,83.61,14.2,0.62,0.58,0.41,2023-03-27,Port of Tokyo (Japan)
Pallete of Snacks,144.79,407.56,1.03,0.9,1.24,2023-03-22,Port of Shanghai (China)
Drawstring Bag,18.69,0.66,0.2,0.21,0.2,2023-03-12,Port of Tokyo (Japan)
Fridge,1094.13,103.29,1.25,0.76,0.91,2023-03-14,Port of Busan (South Korea)
Armchair,163.73,26.49,1.03,0.92,0.82,2023-03-28,Port of Shanghai (China)
Tea Leaves,148.84,198.7,0.4,0.69,0.36,2023-03-23,Port of Tokyo (Japan)
Desk Lamp,46.12,0.87,0.12,0.16,0.2,2023-03-19,Port of Tokyo (Japan)
Picture Frame,29.4,0.47,0.22,0.13,0.02,2023-03-22,Port of Shanghai (China)
Hoe,26.3,1.89,1.19,0.5,0.23,2023-03-18,Port of Tokyo (Japan)
Pallete of Toys,211.65,1230.66,1.12,0.88,1.34,2023-03-19,Port of Tokyo (Japan)
Cycling Helmet,29.59,0.78,0.29,0.32,0.22,2023-03-25,Port of Shanghai (China)
Desk Lamp,124.63,0.95,0.14,0.14,0.21,2023-03-21,Port of Shanghai (China)
Bag of Flour,5.35,0.73,0.3,0.21,0.11,2023-03-26,Port of Busan (South Korea)
Pallete of Coffee,342.02,951.54,1.01,0.89,1.3,2023-03-21,Port of Busan (South Korea)
Pallete of Smartphones,7216.94,14765.35,0.26,0.49,0.07,2023-03-15,Port of Singapore (Singapore)
Pallete of Crackers,131.13,242.54,1.06,0.82,1.21,2023-03-27,Port of Busan (South Korea)
Coffee Table,60.5,14.37,1.08,0.45,0.51,2023-03-20,Port of Tianjin (China)
Whey Protein Powder,61.69,1.5,0.32,0.32,0.13,2023-03-17,Port of Shanghai (China)
Bluetooth Speaker,95.79,0.75,0.23,0.23,0.1,2023-03-24,Port of Singapore (Singapore)
Pallete of Crackers,113.83,226.14,1.12,0.86,1.25,2023-03-14,Port of Busan (South Korea)
Planting Trowel,6.92,0.32,0.14,0.06,0.08,2023-03-20,Port of Tokyo (Japan)
Gardening Gloves,6.9,0.1,0.17,0.06,0.02,2023-03-23,Port of Tokyo (Japan)
Insulation Rolls,13.71,7.07,1.26,0.89,0.07,2023-03-20,Port of Tianjin (China)
Pallete of Frozen Meat,682.76,1386.46,1.06,0.89,1.3,2023-03-16,Port of Shanghai (China)
Carton of Eggs,3.73,0.68,0.13,0.09,0.11,2023-03-21,Port of Busan (South Korea)
Pallete of Water Bottles,54.53,219.15,1.03,1.5,1.16,2023-03-13,Port of Busan (South Korea)
Coffee Maker,80.87,2.07,0.25,0.27,0.23,2023-03-23,Port of Tianjin (China)
Backpacking Tent,382.78,2.42,1.5,1.31,1.16,2023-03-28,Port of Tianjin (China)
Pruning Shears,16.23,0.17,0.25,0.08,0.08,2023-03-19,Port of Singapore (Singapore)
Pallete of Water Bottles,78.91,220.49,1.05,1.5,1.13,2023-03-27,Port of Shanghai (China)
Bluetooth Speaker,98.71,0.71,0.23,0.24,0.12,2023-03-20,Port of Tokyo (Japan)
Shelves,98.27,9.22,1.01,0.48,0.62,2023-03-14,Port of Singapore (Singapore)
Air Conditioners,2641.29,239.17,0.97,0.41,0.63,2023-03-13,Port of Shanghai (China)
Coffee Maker,78.24,1.74,0.22,0.23,0.23,2023-03-24,Port of Tokyo (Japan)
Hiking Boots,184.16,1.7,0.48,0.26,0.18,2023-03-24,Port of Singapore (Singapore)
Aluminum Sheets,99.83,58.93,1.97,1.15,0.07,2023-03-20,Port of Tianjin (China)
Toilet Brush,10.35,0.42,0.17,0.1,0.39,2023-03-26,Port of Tianjin (China)
Big Bag with Glass Scraps,222.4,1163.56,1.61,1.1,0.19,2023-03-27,Port of Shanghai (China)
Toy Car,34.22,0.24,0.39,0.21,0.11,2023-03-14,Port of Busan (South Korea)
Bananas,183.65,170.12,0.76,0.6,0.7,2023-03-13,Port of Busan (South Korea)
Table Lamp,52.68,0.73,0.27,0.29,0.31,2023-03-21,Port of Tokyo (Japan)
Soap Dispenser,18.34,0.56,0.2,0.17,0.27,2023-03-13,Port of Singapore (Singapore)
Piano,10808.9,268.67,1.51,0.86,1.23,2023-03-16,Port of Tianjin (China)
Watering Can,19.1,0.61,0.38,0.13,0.12,2023-03-12,Port of Busan (South Korea)
Plywood Sheets,22.98,12.52,1.61,0.87,0.03,2023-03-25,Port of Singapore (Singapore)
Guitar,418.25,3.82,0.43,0.29,0.12,2023-03-20,Port of Tianjin (China)
Wheelbarrow,77.61,25.72,1.13,0.76,0.58,2023-03-16,Port of Tianjin (China)
Water Heater,124.8,9.6,0.38,0.26,0.14,2023-03-15,Port of Tianjin (China)
Bed,753.36,67.22,2.21,1.34,1.35,2023-03-13,Port of Singapore (Singapore)
Pallete of Beer Cases,271.89,588.27,1.07,0.8,1.05,2023-03-15,Port of Busan (South Korea)
Lawn Mower,374.59,27.48,1.19,0.6,0.51,2023-03-23,Port of Shanghai (China)
Electric Guitar,558.54,2.07,1.18,0.59,0.29,2023-03-27,Port of Busan (South Korea)
Gaming Console,770.94,2.33,0.27,0.26,0.14,2023-03-15,Port of Shanghai (China)
Beach Towel,29.07,0.99,1.31,0.56,0.05,2023-03-28,Port of Busan (South Korea)
Large Box,29.55,0.86,1.0,0.58,0.36,2023-03-24,Port of Tokyo (Japan)
Wheelbarrow,188.01,16.72,1.47,0.9,0.75,2023-03-17,Port of Singapore (Singapore)
Bananas,171.89,185.15,0.53,0.6,0.7,2023-03-19,Port of Busan (South Korea)
Drone,236.15,2.13,0.94,1.22,0.26,2023-03-28,Port of Tokyo (Japan)
Air Conditioner,1352.9,38.2,1.07,0.44,0.11,2023-03-19,Port of Tianjin (China)
Weed Eater,53.46,5.56,0.96,0.27,0.17,2023-03-25,Port of Tokyo (Japan)
Palette Water Bottles,453.14,846.51,1.2,0.89,1.0,2023-03-13,Port of Shanghai (China)
Medium Flat Rate Box,21.66,0.65,0.78,0.56,0.27,2023-03-19,Port of Tokyo (Japan)
Tea Kettle,42.01,1.08,0.47,0.37,0.23,2023-03-28,Port of Singapore (Singapore)
Big Bag with Coal,136.7,1558.16,1.86,0.63,0.28,2023-03-27,Port of Tokyo (Japan)
Garden Cart,113.4,15.29,1.07,0.6,0.48,2023-03-22,Port of Shanghai (China)
Large Padded Envelope,5.68,0.14,0.29,0.14,0.08,2023-03-21,Port of Singapore (Singapore)
Computer,1961.85,7.32,0.55,0.5,0.11,2023-03-22,Port of Shanghai (China)
Pallete of Wine Bottles,476.08,882.53,1.46,1.02,0.28,2023-03-25,Port of Busan (South Korea)
Bottle of Olive Oil,12.91,0.71,0.3,0.12,0.11,2023-03-12,Port of Singapore (Singapore)
Toaster,54.43,1.58,0.43,0.25,0.1,2023-03-19,Port of Shanghai (China)
Resistance Bands,10.04,0.19,0.35,0.03,0.03,2023-03-24,Port of Singapore (Singapore)
Camping Stove,88.05,0.92,0.24,0.29,0.09,2023-03-25,Port of Tianjin (China)
Electric Guitar,907.99,2.25,1.41,0.53,0.27,2023-03-20,Port of Tokyo (Japan)
Box of Pasta,6.05,0.52,0.28,0.14,0.12,2023-03-21,Port of Tianjin (China)
Floor Lamp,34.14,2.92,0.47,0.32,1.36,2023-03-23,Port of Busan (South Korea)
Iron,55.85,0.7,0.22,0.16,0.19,2023-03-23,Port of Tokyo (Japan)
Wireless Earbuds,213.67,0.08,0.18,0.17,0.05,2023-03-23,Port of Tokyo (Japan)
Plywood Sheets,32.81,15.59,1.59,1.05,0.03,2023-03-13,Port of Singapore (Singapore)
Smartphone,713.23,0.13,0.13,0.09,0.02,2023-03-15,Port of Busan (South Korea)
Bricks,59.16,26.34,0.71,0.33,0.15,2023-03-19,Port of Tokyo (Japan)
Smartphone,545.16,0.15,0.09,0.08,0.04,2023-03-20,Port of Tokyo (Japan)
Gardening Gloves,15.57,0.46,0.16,0.05,0.08,2023-03-12,Port of Tianjin (China)
Pruning Shears,22.61,0.33,0.27,0.08,0.09,2023-03-26,Port of Tianjin (China)
Lawn Sprinkler,12.19,0.66,0.34,0.11,0.12,2023-03-14,Port of Singapore (Singapore)
Assorted Tea Bags,14.99,0.7,0.2,0.14,0.08,2023-03-15,Port of Shanghai (China)
Small Shipping Tube,5.35,0.27,0.2,0.05,0.38,2023-03-15,Port of Busan (South Korea)
Piano,17357.2,421.76,1.99,0.53,1.3,2023-03-26,Port of Tokyo (Japan)
Laptop,1034.49,1.68,0.22,0.38,0.03,2023-03-27,Port of Tianjin (China)
Steel Bars,127.4,56.26,2.89,0.12,0.87,2023-03-24,Port of Singapore (Singapore)
Toilet Brush,12.95,0.31,0.18,0.1,0.38,2023-03-23,Port of Shanghai (China)
Paper Towel Holder,25.18,1.14,0.26,0.11,0.21,2023-03-28,Port of Singapore (Singapore)
Small Box,9.47,0.24,0.25,0.22,0.18,2023-03-12,Port of Tokyo (Japan)
Lawn Mower,363.34,31.61,1.18,0.69,0.7,2023-03-12,Port of Tianjin (China)
Toaster,29.69,1.71,0.56,0.28,0.17,2023-03-15,Port of Tianjin (China)
Guitar,61.71,4.34,0.83,0.36,0.08,2023-03-21,Port of Shanghai (China)
Big Bag with Metal Scraps,181.27,1370.74,1.5,1.17,0.25,2023-03-19,Port of Busan (South Korea)
Rain Jacket,57.16,0.6,0.32,0.24,0.12,2023-03-17,Port of Tokyo (Japan)
Microphone,124.95,0.15,0.08,0.09,0.18,2023-03-19,Port of Busan (South Korea)
Headphones,175.32,0.21,0.13,0.2,0.11,2023-03-21,Port of Tokyo (Japan)
Bed,396.45,88.06,2.31,1.99,1.11,2023-03-15,Port of Singapore (Singapore)
Tablets,541.56,0.59,0.74,0.56,0.13,2023-03-13,Port of Tianjin (China)
Camera Bag,59.89,0.64,0.26,0.45,0.25,2023-03-22,Port of Tianjin (China)
Snowboard,490.16,4.66,1.42,0.47,0.06,2023-03-28,Port of Singapore (Singapore)
Small Box,8.63,0.17,0.2,0.27,0.12,2023-03-19,Port of Tokyo (Japan)
Pallete of Magazines,122.77,458.71,1.38,0.8,1.16,2023-03-18,Port of Busan (South Korea)
Duvet,205.95,1.1,2.22,1.75,0.15,2023-03-25,Port of Tokyo (Japan)
Fruit Basket,54.0,1.65,0.51,0.32,0.23,2023-03-19,Port of Tokyo (Japan)
Drawstring Bag,12.1,0.9,0.18,0.23,0.16,2023-03-21,Port of Tianjin (China)
Big Bag with Coal,133.14,868.24,1.59,0.86,0.2,2023-03-16,Port of Busan (South Korea)
Large Shipping Tube,21.62,0.49,0.6,0.31,1.38,2023-03-17,Port of Busan (South Korea)
Floor Lamp,77.29,1.01,0.46,0.34,1.14,2023-03-27,Port of Tianjin (China)
Gym Bag,32.68,0.79,0.34,0.27,0.2,2023-03-22,Port of Singapore (Singapore)
Pallete of Breakfast Cereal,147.27,380.55,1.12,0.97,1.43,2023-03-23,Port of Tokyo (Japan)
Coffee Maker,89.9,1.69,0.29,0.29,0.21,2023-03-21,Port of Tokyo (Japan)
Steel Bars,166.23,63.88,2.34,0.14,1.0,2023-03-20,Port of Shanghai (China)
Pallete of Smartphones,5660.78,14664.44,0.49,0.4,0.06,2023-03-25,Port of Tokyo (Japan)
ATV,2012.08,798.9,2.23,1.11,1.28,2023-03-21,Port of Tokyo (Japan)
Flute,66.36,0.11,0.28,0.02,0.09,2023-03-15,Port of Busan (South Korea)
Hoe,19.14,2.59,0.98,0.39,0.48,2023-03-18,Port of Singapore (Singapore)
Wine Bottle,20.34,0.77,0.21,0.17,0.37,2023-03-26,Port of Tokyo (Japan)
Garden Cart,112.39,15.9,1.18,0.7,0.41,2023-03-16,Port of Singapore (Singapore)
Bag of Flour,8.54,0.98,0.39,0.34,0.16,2023-03-21,Port of Busan (South Korea)
Motorcycle,1990.26,294.02,2.21,1.41,1.15,2023-03-15,Port of Tianjin (China)
Guitar Case,97.68,4.25,1.08,0.5,1.17,2023-03-28,Port of Tianjin (China)
Hoe,21.91,1.58,0.89,0.39,0.33,2023-03-26,Port of Busan (South Korea)
Electric Toothbrush,126.74,0.14,0.14,0.02,0.08,2023-03-12,Port of Shanghai (China)
Vacuum Cleaner,356.37,9.71,0.46,0.4,0.28,2023-03-26,Port of Shanghai (China)
Snowboard,297.58,2.69,1.47,0.3,0.06,2023-03-25,Port of Tianjin (China)
Big Bag with Sand,85.37,778.7,1.46,0.89,0.16,2023-03-17,Port of Busan (South Korea)
Backpacking Tent,169.89,3.04,1.65,1.48,1.34,2023-03-18,Port of Tianjin (China)
Small Shipping Tube,5.17,0.12,0.23,0.09,0.42,2023-03-26,Port of Tianjin (China)
Electric Guitar,322.2,3.24,1.41,0.44,0.11,2023-03-22,Port of Busan (South Korea)
Resistance Loop Bands,35.4,0.21,0.19,0.02,0.02,2023-03-17,Port of Busan (South Korea)
Printer,226.79,6.44,0.34,0.37,0.36,2023-03-19,Port of Busan (South Korea)
Camping Stove,101.04,0.67,0.26,0.21,0.06,2023-03-15,Port of Busan (South Korea)
Headphones,90.37,0.2,0.11,0.16,0.12,2023-03-28,Port of Singapore (Singapore)
Pallete of Frozen Meat,690.69,1386.02,1.13,0.97,1.35,2023-03-23,Port of Singapore (Singapore)
Pallete of Frozen Meat,657.59,1351.7,1.13,0.82,1.21,2023-03-12,Port of Tokyo (Japan)
Folding Table,46.98,7.03,1.05,0.76,0.17,2023-03-21,Port of Shanghai (China)
Briefcase,64.92,2.49,0.64,0.83,0.2,2023-03-16,Port of Tianjin (China)
Pallete of Wine Bottles,391.7,966.44,1.06,0.8,1.18,2023-03-24,Port of Shanghai (China)
Smartphone,419.32,0.13,0.06,0.05,0.02,2023-03-24,Port of Tokyo (Japan)
Big Bag with Sand,70.47,948.83,1.0,0.88,0.17,2023-03-12,Port of Singapore (Singapore)
Fruit Basket,55.29,2.97,0.5,0.34,0.25,2023-03-27,Port of Busan (South Korea)
Big Bag with Grains,64.76,403.72,1.27,0.54,0.12,2023-03-19,Port of Tokyo (Japan)
Running Shoes,63.84,0.7,0.38,0.28,0.2,2023-03-20,Port of Tokyo (Japan)
Large Padded Envelope,6.75,0.17,0.22,0.17,0.06,2023-03-22,Port of Tokyo (Japan)
Pallete of Breakfast Cereal,161.39,364.02,1.14,0.92,1.29,2023-03-28,Port of Busan (South Korea)
Garden Shovel,17.31,0.86,0.24,0.09,0.04,2023-03-18,Port of Singapore (Singapore)
Big Bag with Rocks,148.38,1887.74,1.89,1.0,0.16,2023-03-18,Port of Tianjin (China)
Sleeping Bag,75.11,1.42,0.5,0.55,0.3,2023-03-18,Port of Singapore (Singapore)
Coffee Beans,472.29,233.92,0.3,0.15,0.12,2023-03-22,Port of Singapore (Singapore)
Oranges,150.88,317.32,0.54,0.62,0.7,2023-03-24,Port of Busan (South Korea)
Instant Noodle Pack,5.37,0.33,0.14,0.12,0.1,2023-03-22,Port of Tokyo (Japan)
Mattress,131.31,38.08,1.74,1.1,0.23,2023-03-24,Port of Tianjin (China)
Large Bubble Mailer,6.16,0.23,0.21,0.11,0.08,2023-03-15,Port of Tokyo (Japan)
Oranges,131.95,290.67,0.33,0.65,0.7,2023-03-24,Port of Busan (South Korea)
Pallete of Water Bottles,73.01,226.18,1.05,1.5,1.15,2023-03-27,Port of Tokyo (Japan)
Smartphone Case,14.74,0.06,0.12,0.09,0.01,2023-03-17,Port of Singapore (Singapore)
Corn (Canned),37.14,85.03,0.4,0.3,0.3,2023-03-20,Port of Tianjin (China)
Pallete of Bird Food,106.06,228.6,1.02,0.87,1.25,2023-03-12,Port of Busan (South Korea)
Medium Box,16.07,0.4,0.41,0.33,0.22,2023-03-28,Port of Busan (South Korea)
Pallete of Wine Bottles,487.98,988.14,1.31,1.04,0.3,2023-03-23,Port of Singapore (Singapore)
Rice,30.53,178.03,0.73,0.29,0.72,2023-03-13,Port of Tianjin (China)
Metal Pipes,82.07,51.09,2.26,0.15,1.55,2023-03-28,Port of Tianjin (China)
Dining Table,811.01,77.41,0.82,1.07,0.79,2023-03-19,Port of Shanghai (China)
Camera,1202.37,0.73,0.11,0.14,0.08,2023-03-26,Port of Shanghai (China)
Sofa,1571.09,196.82,1.53,1.04,0.7,2023-03-27,Port of Busan (South Korea)
Small Flat Rate Box,9.97,0.29,0.32,0.1,0.06,2023-03-24,Port of Tokyo (Japan)
Bed,551.6,57.04,2.4,1.52,0.61,2023-03-20,Port of Shanghai (China)
Pallete of Bird Food,112.25,232.33,1.09,0.82,1.4,2023-03-17,Port of Shanghai (China)
Swim Goggles,11.22,0.16,0.13,0.07,0.09,2023-03-14,Port of Tokyo (Japan)
Mattress,696.11,41.58,1.55,1.11,0.16,2023-03-26,Port of Tianjin (China)
Pallete of Wine Bottles,496.87,934.17,1.14,1.02,0.24,2023-03-24,Port of Tianjin (China)
Guitar Case,132.98,5.34,1.02,0.5,1.25,2023-03-19,Port of Singapore (Singapore)
Instant Noodle Pack,9.54,0.25,0.17,0.14,0.08,2023-03-20,Port of Tianjin (China)
Fruit Basket,57.61,2.18,0.6,0.24,0.24,2023-03-13,Port of Singapore (Singapore)
Pallete of Coffee,327.94,930.39,1.16,0.99,1.26,2023-03-14,Port of Shanghai (China)
Television,108.12,6.69,0.61,0.94,0.16,2023-03-18,Port of Singapore (Singapore)
Carton of Eggs,3.75,0.72,0.16,0.07,0.13,2023-03-24,Port of Tianjin (China)
Cement Bag,30.38,22.36,0.34,0.33,0.32,2023-03-18,Port of Tokyo (Japan)
Pallete of Canned Vegetables,127.68,352.2,1.01,1.0,1.22,2023-03-12,Port of Shanghai (China)
Sofa,274.44,48.76,1.75,1.35,0.61,2023-03-17,Port of Tianjin (China)
Portable Bluetooth Keyboard,116.27,0.25,0.15,0.08,0.03,2023-03-25,Port of Tianjin (China)
Desktop Computer,1265.09,8.26,0.36,0.36,0.49,2023-03-24,Port of Tianjin (China)
Large Box,29.12,0.86,0.86,0.57,0.39,2023-03-12,Port of Singapore (Singapore)
Pallete of Bananas,115.5,369.28,1.11,0.8,0.74,2023-03-13,Port of Busan (South Korea)
Portable Charger,41.33,0.39,0.14,0.08,0.03,2023-03-20,Port of Busan (South Korea)
Canister,15.21,3.61,0.25,0.33,0.23,2023-03-13,Port of Shanghai (China)
Sleeping Bag,147.24,1.72,0.5,0.43,0.14,2023-03-17,Port of Shanghai (China)
Extra Large Box,57.51,1.44,1.13,0.64,0.51,2023-03-17,Port of Busan (South Korea)
Blender,34.95,1.36,0.27,0.28,0.28,2023-03-22,Port of Tianjin (China)
Kitchen Knife Set,113.9,3.25,0.47,0.13,0.04,2023-03-28,Port of Tokyo (Japan)
Coffee Maker,54.11,2.58,0.29,0.26,0.26,2023-03-17,Port of Singapore (Singapore)
Laptop Bag,22.59,1.41,0.35,0.33,0.1,2023-03-17,Port of Singapore (Singapore)
Piano,3004.3,295.87,1.46,1.74,0.98,2023-03-24,Port of Shanghai (China)
Big Bag with Food Ingredients,131.5,670.6,1.03,0.75,0.14,2023-03-16,Port of Tokyo (Japan)
Wine Opener,24.24,0.61,0.15,0.12,0.09,2023-03-26,Port of Tianjin (China)
Portable Charger,37.83,0.33,0.16,0.09,0.01,2023-03-23,Port of Busan (South Korea)
Drone,1512.64,0.68,0.39,0.39,0.16,2023-03-18,Port of Tianjin (China)
Washing Machine,412.21,36.87,0.82,0.8,1.15,2023-03-14,Port of Tianjin (China)
Assorted Chocolates,21.64,0.6,0.21,0.3,0.14,2023-03-23,Port of Busan (South Korea)
Wireless Earbuds,168.34,0.19,0.21,0.28,0.1,2023-03-17,Port of Busan (South Korea)
Pallete of Books,231.69,872.4,1.41,0.8,1.18,2023-03-25,Port of Tokyo (Japan)
Big Bag with Chemicals,166.4,630.79,1.26,0.94,0.22,2023-03-21,Port of Tianjin (China)
Headphones,67.68,0.33,0.13,0.15,0.15,2023-03-15,Port of Tianjin (China)
Dining Table,259.11,24.05,1.26,1.07,1.23,2023-03-22,Port of Busan (South Korea)
Assorted Tea Bags,14.51,0.33,0.13,0.17,0.07,2023-03-25,Port of Singapore (Singapore)
Hair Dryer,50.85,1.63,0.35,0.15,0.16,2023-03-28,Port of Singapore (Singapore)
Microphone,295.48,0.21,0.06,0.09,0.17,2023-03-23,Port of Tokyo (Japan)
Big Bag with Chemicals,235.17,711.48,1.04,0.89,0.18,2023-03-22,Port of Tianjin (China)
Whey Protein Powder,49.76,1.59,0.35,0.39,0.15,2023-03-21,Port of Shanghai (China)
Bicycle,310.47,19.91,1.22,0.73,1.29,2023-03-13,Port of Singapore (Singapore)
Sewing Machine,555.83,17.9,0.49,0.69,0.6,2023-03-28,Port of Shanghai (China)
Loaf of Bread,2.62,0.46,0.23,0.12,0.12,2023-03-22,Port of Tianjin (China)
Medium Shipping Tube,10.5,0.26,0.43,0.12,0.87,2023-03-22,Port of Singapore (Singapore)
Mattress,810.26,20.63,2.31,1.4,0.3,2023-03-28,Port of Singapore (Singapore)
Whey Protein Powder,63.08,1.83,0.32,0.39,0.15,2023-03-15,Port of Busan (South Korea)
Printer,118.76,8.29,0.47,0.47,0.2,2023-03-21,Port of Singapore (Singapore)
Hoe,14.19,1.58,1.07,0.39,0.41,2023-03-22,Port of Shanghai (China)
Aluminum Sheets,88.74,57.25,1.55,1.4,0.07,2023-03-21,Port of Busan (South Korea)
Snowboard,402.04,4.31,1.31,0.39,0.2,2023-03-23,Port of Shanghai (China)
PC Mice,171.89,0.18,1.11,0.63,0.12,2023-03-22,Port of Busan (South Korea)
Desk Lamp,133.28,0.6,0.25,0.28,0.31,2023-03-24,Port of Tianjin (China)
Speakers,103.01,3.65,0.25,0.3,0.36,,Port of Singapore (Singapore)
Pallete of Canned Fruit,139.92,425.78,1.07,0.94,1.27,2023-03-19,Port of Tianjin (China)
Kitchen Knife Set,61.05,3.27,0.61,0.18,0.04,2023-03-13,Port of Tokyo (Japan)
Pallete of Paper Towels,299.88,606.09,1.19,0.88,0.56,2023-03-17,Port of Busan (South Korea)
Handheld Mixer,54.14,2.36,0.42,0.31,0.16,2023-03-18,Port of Tianjin (China)
Box of Toys,13.83,3.05,0.31,0.35,0.5,2023-03-18,Port of Busan (South Korea)
Pallete of Wine Bottles,376.41,850.7,1.03,0.83,1.16,2023-03-18,Port of Tianjin (China)
Bed,1347.57,34.22,1.74,1.37,0.89,2023-03-21,Port of Singapore (Singapore)
Folding Table,68.32,6.97,0.76,0.76,0.09,2023-03-23,Port of Busan (South Korea)
Computer Monitor,115.0,5.5,0.64,0.36,0.15,2023-03-16,Port of Singapore (Singapore)
Large Flat Rate Box,37.93,0.9,1.12,0.73,0.33,2023-03-13,Port of Singapore (Singapore)
Large Desk,265.64,32.86,1.22,1.12,0.78,2023-03-20,Port of Singapore (Singapore)
Medium Shipping Tube,14.97,0.36,0.42,0.11,0.89,2023-03-21,Port of Tianjin (China)
Computer,1653.71,2.08,0.51,0.47,0.15,2023-03-21,Port of Singapore (Singapore)
Desk Lamp,109.03,1.01,0.21,0.2,0.5,2023-03-21,Port of Tianjin (China)
Coffee Maker,58.33,1.08,0.42,0.37,0.22,2023-03-27,Port of Tokyo (Japan)
Leaf Blower,156.05,5.53,1.16,0.2,0.37,2023-03-19,Port of Singapore (Singapore)
Coffee Maker,123.67,1.64,0.22,0.25,0.2,2023-03-25,Port of Tokyo (Japan)
Bathroom Scale,21.85,1.79,0.4,0.32,0.03,2023-03-13,Port of Tokyo (Japan)
Glass Sheets,83.62,33.03,1.04,1.39,0.03,2023-03-23,Port of Tokyo (Japan)
Office Chair,70.32,6.79,0.62,0.72,0.91,2023-03-23,Port of Tianjin (China)
Big Bag with Coal,103.05,1128.52,1.59,0.85,0.28,2023-03-17,Port of Tokyo (Japan)
Coffee Maker,43.33,1.18,0.43,0.3,0.21,2023-03-26,Port of Shanghai (China)
Coffee Beans,19.17,0.62,0.26,0.16,0.09,2023-03-16,Port of Tianjin (China)
Cookware Set,110.92,6.2,0.49,0.37,0.14,2023-03-20,Port of Singapore (Singapore)
Backpacking Tent,361.39,3.72,1.74,1.27,1.13,2023-03-18,Port of Busan (South Korea)
Box of Toys,71.79,2.93,0.34,0.38,0.5,2023-03-20,Port of Singapore (Singapore)
Pallete of Coffee,432.56,812.37,1.04,0.93,1.28,2023-03-19,Port of Singapore (Singapore)
